,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
480,9,30,9,4,Optimal,1233464
481,9,31,9,4,Optimal,1233464
482,9,32,9,4,Optimal,1233464
483,9,33,9,4,Optimal,1233464
484,9,34,9,4,Optimal,1233464
485,9,35,9,4,Optimal,1233464
486,9,36,9,4,Optimal,1233464
487,9,37,9,4,Optimal,1233464
488,9,38,9,4,Optimal,1233464
489,9,39,9,4,Optimal,1233464
490,9,40,9,4,Optimal,1233464
491,9,41,9,4,Optimal,1233464
492,9,42,9,4,Optimal,1233464
493,9,43,9,4,Optimal,1233464
494,9,44,9,4,Optimal,1233464
495,9,45,9,4,Optimal,1233464
496,9,46,9,4,Optimal,1233464
497,9,47,9,4,Optimal,1233464
498,9,48,9,4,Optimal,1233464
499,9,49,9,4,Optimal,1233464
500,10,0,10,0,Infeasible,1362978
501,10,1,10,1,Infeasible,1272577
502,10,2,9,1,Infeasible,1092671
503,10,3,10,3,Optimal,1216456
504,10,4,10,3,Optimal,1216456
505,10,5,10,3,Optimal,1216456
506,10,6,10,3,Optimal,1216456
507,10,7,10,3,Optimal,1216456
508,10,8,10,3,Optimal,1216456
509,10,9,10,3,Optimal,1216456
510,10,10,10,3,Optimal,1216456
511,10,11,10,3,Optimal,1216456
512,10,12,10,3,Optimal,1216456
513,10,13,10,3,Optimal,1216456
514,10,14,10,3,Optimal,1216456
515,10,15,10,3,Optimal,1216456
516,10,16,10,3,Optimal,1216456
517,10,17,10,3,Optimal,1216456
518,10,18,10,3,Optimal,1216456
519,10,19,10,3,Optimal,1216456
520,10,20,10,3,Optimal,1216456
521,10,21,10,3,Optimal,1216456
522,10,22,10,3,Optimal,1216456
523,10,23,10,3,Optimal,1216456
524,10,24,10,3,Optimal,1216456
525,10,25,10,3,Optimal,1216456
526,10,26,10,3,Optimal,1216456
527,10,27,10,3,Optimal,1216456
528,10,28,10,3,Optimal,1216456
529,10,29,10,3,Optimal,1216456
530,10,30,10,3,Optimal,1216456
531,10,31,10,3,Optimal,1216456
532,10,32,10,3,Optimal,1216456
533,10,33,10,3,Optimal,1216456
534,10,34,10,3,Optimal,1216456
535,10,35,10,3,Optimal,1216456
536,10,36,10,3,Optimal,1216456
537,10,37,10,3,Optimal,1216456
538,10,38,10,3,Optimal,1216456
539,10,39,10,3,Optimal,1216456
540,10,40,10,3,Optimal,1216456
541,10,41,10,3,Optimal,1216456
542,10,42,10,3,Optimal,1216456
543,10,43,10,3,Optimal,1216456
544,10,44,10,3,Optimal,1216456
545,10,45,10,3,Optimal,1216456
546,10,46,10,3,Optimal,1216456
547,10,47,10,3,Optimal,1216456
548,10,48,10,3,Optimal,1216456
549,10,49,10,3,Optimal,1216456
550,11,0,11,0,Infeasible,1261615
551,11,1,11,2,Infeasible,1207002
552,11,2,11,2,Optimal,1207002
553,11,3,11,2,Optimal,1207002
554,11,4,11,2,Optimal,1207002
555,11,5,11,2,Optimal,1207002
556,11,6,11,2,Optimal,1207002
557,11,7,11,2,Optimal,1207002
558,11,8,11,2,Optimal,1207002
559,11,9,11,2,Optimal,1207002
560,11,10,11,2,Optimal,1207002
561,11,11,11,2,Optimal,1207002
562,11,12,11,2,Optimal,1207002
563,11,13,11,2,Optimal,1207002
564,11,14,11,2,Optimal,1207002
565,11,15,11,2,Optimal,1207002
566,11,16,11,2,Optimal,1207002
567,11,17,11,2,Optimal,1207002
568,11,18,11,2,Optimal,1207002
569,11,19,11,2,Optimal,1207002
570,11,20,11,2,Optimal,1207002
571,11,21,11,2,Optimal,1207002
572,11,22,11,2,Optimal,1207002
573,11,23,11,2,Optimal,1207002
574,11,24,11,2,Optimal,1207002
575,11,25,11,2,Optimal,1207002
576,11,26,11,2,Optimal,1207002
577,11,27,11,2,Optimal,1207002
578,11,28,11,2,Optimal,1207002
579,11,29,11,2,Optimal,1207002
580,11,30,11,2,Optimal,1207002
581,11,31,11,2,Optimal,1207002
582,11,32,11,2,Optimal,1207002
583,11,33,11,2,Optimal,1207002
584,11,34,11,2,Optimal,1207002
585,11,35,11,2,Optimal,1207002
586,11,36,11,2,Optimal,1207002
587,11,37,11,2,Optimal,1207002
588,11,38,11,2,Optimal,1207002
